Questions,Answers
What is the name of the thin and long country that spans more than half of the western coast of South America?,Chile
Which American state is the largest (by area)?,Alaska
Which two countries share the longest international border?,Canada and  USA
What is the smallest country in the world?,Vatican City
Which continent is the largest?,Asia
Which of the Seven Wonders is located in Egypt?,The Pyramids of Giza
What is the capital of New Zealand?,Wellington
Which desert is the largest in the world?,Sahara 
What is the name of the worldâ€™s longest river?,Nile
Which city in India would you find the Taj Mahal in?,Agra
"According to Greek mythology, who was the first woman on earth?",Pandora
Which African country was formerly known as Abyssinia?,Ethiopia 
In which European city would you find Orly airport?,Paris
Tennis star Serena Williams won which major tournament while pregnant with her first child?,Paris
Which singer’s real name is Stefani Joanne Angelina Germanotta?,Lady Gaga
What is the loudest animal on Earth?,sperm whale
What is the tiny piece at the end of a shoelace called?,An aglet
Which of Shakespeare’s plays is the longest?,Hamlet
What is the softest mineral in the world?,Talc
In which city was Anne Frank’s hiding place?,Amsterdam
What is the smallest ocean in the world?,The Arctic
What is the lowest army rank of a US soldier?,Private
 What country won the very first FIFA World Cup in 1930?,Uruguay
: Which planet is the hottest in the solar system?,Venus
In what year was the first-ever Wimbledon Championship held?,1877
Which country produces the most coffee in the world?,Brazil
Who dropped a hammer and a feather on the Moon to demonstrate that without air they fall at the same rate?,David Scott
"If the Earth were made into a black hole, what would be the diameter of its event horizon(In mm)?",20
"If you fell down an airless, frictionless hole going all the way through the Earth, how long would it take to fall to the other side? (To the nearest minute.)",42
 How many hearts does an Octopus Have?,Three
In what year was the product WD40 invented by chemist Norm Larsen?,1953
"If you took one step each second in seven-league boots, what would your speed be in miles per hour?","75,600"
What is the furthest you can see with the naked eye(In million light years)?,2.5
"To the nearest thousand, how many hairs are there on a typical human head?","10,000"
Who invented the gramophone?,Emile Berliner
What do the initials HAL for the HAL 9000 computer mean in the film 2001: A Space Odyssey?,ALgorithmic computer
How many years will it take a spacecraft launched from Earth to arrive at the planet Pluto(In million light years)?,Nine and a half years
Who invented man-made fizzy drinks?,Joseph Priestley
In 1930 Albert Einstein and a colleague were issued US patent 1781541. What was it for?,Refrigerator
How much water is there on Earth per human being?,"2,10,00,00,00,000"
Which singer was known amongst other things as ‘The King of Pop’ and ‘The Gloved One’?,Michael Jackson
Which club won the 1986 FA Cup final?,Liverpool
Who managed West Ham United between 2008 and 2010?,Gianfranco Zola
Can you name the manager who took charge of the England national team in 1977?,Ron Greenwood
"Which goalkeeper holds the record for winning the most caps for England, winning 125 caps in his playing career?",Peter Shilton
"What is the name of the band with the following members: John Deacon, Brian May, Freddie Mercury, Roger Taylor?",Queen
What 1960s’ American pop group created the ‘surfin sound’?,Beach Boys
Who was lead singer with the 1970s’ pop group Slade?,Noddy Holder
What is Sir Alex Ferguson’s middle name?,Chapman
 How many sunflowers were there in Van Gogh’s third version of the painting ‘Sunflowers’?,12
Where in the world is Leonardo da Vinci’s Mona Lisa exhibited?,"Paris, France"
"Can you name the optical art piece that Bridget Riley created in 1961 – ‘Shadow Play’, ‘Cataract 3’ or ‘Movement in Squares’?",Movement in Squares
What nationality was artist Henri Matisse?,French
"Which tennis player won the 2012 Ladies Australian Open defeating Maria Sharapova 6-3, 6-0?",Victoria Azarenka
Wimbledon 2017 was won by the 14th seed who surprisingly defeated Venus WIlliams in the final. Who is she?,Garbiñe Muguruza
Which country has dominated Olympic Summer Games Synchronized Swimming with five gold medals since it’s reintroduction to the games in 2000?,Russia
Canadian Connor McDavid is a rising star in which sport?,Ice Hockey
In which film did Hugh Jackman star as a rival magician of the character played by Christian Bale?,The Prestige
"The film director, Frank Capra, famous for It’s a Wonderful Life, was born in which mediteranean country?",Italy
Which British action actor played the part of Lee Christmas alongside Sylvester Stallone in the film The Expendables?,Jason Statham
Which former Doctor Who actress played the part of Nebula in ‘Avengers:Infinity War’?,Karen Gillan
Which prisoner dubbed ‘the most violent prisoner in Britain’ was the subject of a 2009 film?,Charles Bronson
"Daenerys has 3 dragons, two are called Drogon and Rhaegal, what is the other called?",Viserion
Master of Coin Lord Petyr Baelish was also known by what name?,Littlefinger
What is the very first episode called?,Winter is Coming
Which city provides the location for the fictional Kings Landing?, Dubrovnik
" Iwan Rheon, who played Ramsay Bolton, was almost cast as which character?",Jon Snow
"Which actor was James Bond before Daniel Craig, making four films as 007?",Pierce Brosnan
"In which 1985 Bond film did an airship appear, with the words ‘Zorin Industries’ appearing on the side?",A View to a Kill
,
